t11.mol	4	6,06 3100331 3100331 3100331 
t12.mol	5	6,06 3100331 3100331 3100331 3100331 
t13.mol	4	6,06 3100331 3100331 3100331 
t2.mol	4	6,06 3301411 3301411 3301411 
t3.mol	3	6,06 3100331 3100331 
t4.mol	3	6,06 3100331 3300491 
t5.mol	5	6,06 3100331 3100331 3300481 3300481 
t6.mol	3	6,06 3100331 3100331 
t7.mol	4	6,06 3100331 3301411 3300481 
t8.mol	2	6,06 1101331 
t9.mol	2	6,06 1101331 
